1,北京大学,,北京市,,211,985,公办院校,综合类院校,教育部,大学,
2,清华大学,,北京市,,211,985,公办院校,工科类院校,教育部,大学,
3,武汉大学,湖北,湖北-武汉市,武汉市,211,985,公办院校,综合类院校,教育部,大学,
4,复旦大学,,上海市,,211,985,公办院校,综合类院校,教育部,大学,
5,浙江大学,浙江,浙江-杭州市,杭州市,211,985,公办院校,综合类院校,教育部,大学,
6,上海交通大学,,上海市,,211,985,公办院校,综合类院校,教育部,大学,
7,南京大学,江苏,江苏-南京市,南京市,211,985,公办院校,综合类院校,教育部,大学,
8,中国人民大学,,北京市,,211,985,公办院校,综合类院校,教育部,大学,
9,吉林大学,吉林,吉林-长春市,长春市,211,985,公办院校,综合类院校,教育部,大学,
10,华中科技大学,湖北,湖北-武汉市,武汉市,211,985,公办院校,工科类院校,教育部,大学,
11,四川大学,四川,四川-成都市,成都市,211,985,公办院校,综合类院校,教育部,大学,
12,中山大学,广东,广东-广州市,广州市,211,985,公办院校,综合类院校,教育部,大学,
13,南开大学,,天津市,,211,985,公办院校,综合类院校,教育部,大学,
14,天津大学,,天津市,,211,985,公办院校,工科类院校,教育部,大学,
15,中国科学技术大学,安徽,安徽-合肥市,合肥市,211,985,公办院校,工科类院校,中国科学院,大学,
16,西安交通大学,陕西,陕西-西安市,西安市,211,985,公办院校,综合类院校,教育部,大学,
17,中南大学,湖南,湖南-长沙市,长沙市,211,985,公办院校,综合类院校,教育部,大学,
18,哈尔滨工业大学,黑龙江,黑龙江-哈尔滨市,哈尔滨市,211,985,公办院校,工科类院校,工业和信息化部,大学,
19,北京师范大学,,北京市,,211,985,公办院校,师范类院校,教育部,大学,
20,山东大学,山东,山东-济南市,济南市,211,985,公办院校,综合类院校,教育部,大学,
21,厦门大学,福建,福建-厦门市,厦门市,211,985,公办院校,综合类院校,教育部,大学,
22,东南大学,江苏,江苏-南京市,南京市,211,985,公办院校,综合类院校,教育部,大学,
23,北京航空航天大学,,北京市,,211,985,公办院校,工科类院校,工业和信息化部,大学,
24,同济大学,,上海市,,211,985,公办院校,工科类院校,教育部,大学,
25,东北大学,辽宁,辽宁-沈阳市,沈阳市,211,985,公办院校,工科类院校,教育部,大学,
26,大连理工大学,辽宁,辽宁-大连市,大连市,211,985,公办院校,工科类院校,教育部,大学,
27,华南理工大学,广东,广东-广州市,广州市,211,985,公办院校,工科类院校,教育部,大学,
28,华东师范大学,,上海市,,211,985,公办院校,师范类院校,教育部,大学,
29,电子科技大学,四川,四川-成都市,成都市,211,985,公办院校,工科类院校,教育部,大学,
30,湖南大学,湖南,湖南-长沙市,长沙市,211,985,公办院校,综合类院校,教育部,大学,
31,重庆大学,,重庆市,,211,985,公办院校,综合类院校,教育部,大学,
32,西北工业大学,陕西,陕西-西安市,西安市,211,985,公办院校,工科类院校,工业和信息化部,大学,
33,中国农业大学,,北京市,,211,985,公办院校,农业类院校,教育部,大学,
34,兰州大学,甘肃,甘肃-兰州市,兰州市,211,985,公办院校,综合类院校,教育部,大学,
35,北京理工大学,,北京市,,211,985,公办院校,工科类院校,工业和信息化部,大学,
36,华中师范大学,湖北,湖北-武汉市,武汉市,211,,公办院校,师范类院校,教育部,大学,
37,西南大学,,重庆市,,211,,公办院校,综合类院校,教育部,大学,
38,东北师范大学,吉林,吉林-长春市,长春市,211,,公办院校,师范类院校,教育部,大学,
39,南京农业大学,江苏,江苏-南京市,南京市,211,,公办院校,农业类院校,教育部,大学,
40,北京交通大学,,北京市,,211,,公办院校,工科类院校,教育部,大学,
41,西南交通大学,四川,四川-成都市,成都市,211,,公办院校,工科类院校,教育部,大学,
42,长安大学,陕西,陕西-西安市,西安市,211,,公办院校,工科类院校,教育部,大学,
43,武汉理工大学,湖北,湖北-武汉市,武汉市,211,,公办院校,工科类院校,教育部,大学,
44,河海大学,江苏,江苏-南京市,南京市,211,,公办院校,工科类院校,教育部,大学,
45,华中农业大学,湖北,湖北-武汉市,武汉市,211,,公办院校,农业类院校,教育部,大学,
46,南京师范大学,江苏,江苏-南京市,南京市,211,,公办院校,师范类院校,江苏省教育厅,大学,
47,郑州大学,河南,河南-郑州市,郑州市,211,,公办院校,综合类院校,河南省教育厅,大学,
48,南京理工大学,江苏,江苏-南京市,南京市,211,,公办院校,工科类院校,工业和信息化部,大学,
49,西安电子科技大学,陕西,陕西-西安市,西安市,211,,公办院校,工科类院校,教育部,大学,
50,中国海洋大学,山东,山东-青岛市,青岛市,211,985,公办院校,综合类院校,教育部,大学,
51,华东理工大学,,上海市,,211,,公办院校,工科类院校,教育部,大学,
52,苏州大学,江苏,江苏-苏州市,苏州市,211,,公办院校,综合类院校,江苏省教育厅,大学,
53,南京航空航天大学,江苏,江苏-南京市,南京市,211,,公办院校,工科类院校,工业和信息化部,大学,
54,西北大学,陕西,陕西-西安市,西安市,211,,公办院校,综合类院校,陕西省教育厅,大学,
55,北京科技大学,,北京市,,211,,公办院校,工科类院校,教育部,大学,
56,中国矿业大学,江苏,江苏-徐州市,徐州市,211,,公办院校,工科类院校,教育部,大学,
57,北京协和医学院,,北京市,,211,985,公办院校,医药类院校,卫生部,学院,
58,上海大学,,上海市,,211,,公办院校,综合类院校,上海市教育委员会,大学,
59,南昌大学,江西,江西-南昌市,南昌市,211,,公办院校,综合类院校,江西省教育厅,大学,
60,西北农林科技大学,陕西,陕西-咸阳市,咸阳市,211,985,公办院校,农业类院校,教育部,大学,
61,湖南师范大学,湖南,湖南-长沙市,长沙市,211,,公办院校,师范类院校,湖南省教育厅,大学,
62,云南大学,云南,云南-昆明市,昆明市,211,,公办院校,综合类院校,云南省教育厅,大学,
63,哈尔滨工程大学,黑龙江,黑龙江-哈尔滨市,哈尔滨市,211,,公办院校,工科类院校,工业和信息化部,大学,
64,东华大学,,上海市,,211,,公办院校,工科类院校,教育部,大学,
65,华南师范大学,广东,广东-广州市,广州市,211,,公办院校,师范类院校,广东省教育厅,大学,
66,上海财经大学,,上海市,,211,,公办院校,财经类院校,教育部,大学,
67,陕西师范大学,陕西,陕西-西安市,西安市,211,,公办院校,师范类院校,教育部,大学,
68,中国政法大学,,北京市,,211,,公办院校,政法类院校,教育部,大学,
69,暨南大学,广东,广东-广州市,广州市,211,,公办院校,综合类院校,国务院侨务办公室,大学,
70,北京邮电大学,,北京市,,211,,公办院校,工科类院校,教育部,大学,
71,江南大学,江苏,江苏-无锡市,无锡市,211,,公办院校,综合类院校,教育部,大学,
72,合肥工业大学,安徽,安徽-合肥市,合肥市,211,,公办院校,工科类院校,教育部,大学,
73,北京化工大学,,北京市,,211,,公办院校,工科类院校,教育部,大学,
74,中南财经政法大学,湖北,湖北-武汉市,武汉市,211,,公办院校,财经类院校,教育部,大学,
75,福建师范大学,福建,福建-福州市,福州市,,,公办院校,师范类院校,福建省教育厅,大学,
76,深圳大学,广东,广东-深圳市,深圳市,,,公办院校,综合类院校,广东省教育厅,大学,
77,中国地质大学(武汉),湖北,湖北-武汉市,武汉市,211,,公办院校,工科类院校,教育部,大学,
78,福州大学,福建,福建-福州市,福州市,211,,公办院校,工科类院校,福建省教育厅,大学,
79,山西大学,山西,山西-太原市,太原市,,,公办院校,综合类院校,山西省教育厅,大学,
80,西南财经大学,四川,四川-成都市,成都市,211,,公办院校,财经类院校,教育部,大学,
81,广西大学,广西,广西-南宁市,南宁市,211,,公办院校,综合类院校,广西壮族自治区教育厅,大学,
82,首都师范大学,,北京市,,,,公办院校,师范类院校,北京市教育委员会,大学,
83,华南农业大学,广东,广东-广州市,广州市,,,公办院校,农业类院校,广东省教育厅,大学,
84,北京工业大学,,北京市,,211,,公办院校,工科类院校,北京市教育委员会,大学,
85,河南大学,河南,河南-开封市,开封市,,,公办院校,综合类院校,河南省教育厅,大学,
86,北京林业大学,,北京市,,211,,公办院校,林业类院校,教育部,大学,
87,浙江工业大学,浙江,浙江-杭州市,杭州市,,,公办院校,工科类院校,浙江省教育厅,大学,
88,燕山大学,河北,河北-秦皇岛市,秦皇岛市,,,公办院校,工科类院校,河北省教育厅,大学,
89,昆明理工大学,云南,云南-昆明市,昆明市,,,公办院校,工科类院校,云南省教育厅,大学,
90,中央民族大学,,北京市,,211,985,公办院校,民族类院校,国家民族事务委员会,大学,
91,中国石油大学(华东),山东,山东-东营市,东营市,211,,公办院校,工科类院校,教育部,大学,
92,对外经济贸易大学,,北京市,,211,,公办院校,财经类院校,教育部,大学,
93,浙江师范大学,浙江,浙江-金华市,金华市,,,公办院校,师范类院校,浙江省教育厅,大学,
94,首都医科大学,,北京市,,,,公办院校,医药类院校,北京市教育委员会,大学,
95,安徽大学,安徽,安徽-合肥市,合肥市,211,,公办院校,综合类院校,安徽省人民政府,大学,
96,南京工业大学,江苏,江苏-南京市,南京市,,,公办院校,工科类院校,江苏省教育厅,大学,
97,上海理工大学,,上海市,,,,公办院校,工科类院校,上海市教育委员会,大学,
98,杭州电子科技大学,浙江,浙江-杭州市,杭州市,,,公办院校,工科类院校,浙江省教育厅,大学,
99,天津师范大学,,天津市,,,,公办院校,师范类院校,天津市教育委员会,大学,
100,河北大学,河北,河北-保定市,保定市,,,公办院校,综合类院校,河北省教育厅,大学,
101,东北林业大学,黑龙江,黑龙江-哈尔滨市,哈尔滨市,211,,公办院校,林业类院校,教育部,大学,
102,湘潭大学,湖南,湖南-湘潭市,湘潭市,,,公办院校,综合类院校,湖南省教育厅,大学,
103,新疆大学,新疆,新疆-乌鲁木齐市,乌鲁木齐市,211,,公办院校,综合类院校,新疆维吾尔自治区教育厅,大学,
104,宁波大学,浙江,浙江-宁波市,宁波市,,,公办院校,综合类院校,浙江省教育厅,大学,
105,黑龙江大学,黑龙江,黑龙江-哈尔滨市,哈尔滨市,,,公办院校,综合类院校,黑龙江省教育厅,大学,
106,扬州大学,江苏,江苏-扬州市,扬州市,,,公办院校,综合类院校,江苏省教育厅,大学,
107,安徽师范大学,安徽,安徽-合肥市,合肥市,,,公办院校,师范类院校,安徽省教育厅,大学,
108,山东师范大学,山东,山东-济南市,济南市,,,公办院校,师范类院校,山东省教育厅,大学,
109,中央财经大学,,北京市,,211,,公办院校,财经类院校,教育部,大学,
110,江苏大学,江苏,江苏-镇江市,镇江市,,,公办院校,综合类院校,江苏省教育厅,大学,
111,上海师范大学,,上海市,,,,公办院校,师范类院校,上海市教育委员会,大学,
112,大连海事大学,辽宁,辽宁-大连市,大连市,211,,公办院校,工科类院校,交通部,大学,
113,辽宁大学,辽宁,辽宁-沈阳市,沈阳市,211,,公办院校,综合类院校,辽宁省教育厅,大学,
114,太原理工大学,山西,山西-太原市,太原市,211,,公办院校,工科类院校,山西省教育厅,大学,
115,华北电力大学,,北京市,,211,,公办院校,工科类院校,教育部,大学,
116,中国石油大学(北京),,北京市,,211,,公办院校,工科类院校,教育部,大学,
117,东北财经大学,辽宁,辽宁-大连市,大连市,,,公办院校,财经类院校,辽宁省教育厅,大学,
118,南方医科大学,广东,广东-广州市,广州市,,,公办院校,医药类院校,广东省教育厅,大学,
119,青岛大学,山东,山东-青岛市,青岛市,,,公办院校,综合类院校,山东省教育厅,大学,
120,长沙理工大学,湖南,湖南-长沙市,长沙市,,,公办院校,工科类院校,湖南省教育厅,大学,
121,天津医科大学,,天津市,,211,,公办院校,医药类院校,天津市教育委员会,大学,
122,中国药科大学,江苏,江苏-南京市,南京市,211,,公办院校,医药类院校,教育部,大学,
123,北京中医药大学,,北京市,,211,,公办院校,医药类院校,教育部,大学,
124,浙江工商大学,浙江,浙江-杭州市,杭州市,,,公办院校,财经类院校,浙江省教育厅,大学,
125,福建农林大学,福建,福建-福州市,福州市,,,公办院校,农业类院校,福建省教育厅,大学,
126,江西师范大学,江西,江西-南昌市,南昌市,,,公办院校,师范类院校,江西省教育厅,大学,
127,哈尔滨医科大学,黑龙江,黑龙江-哈尔滨市,哈尔滨市,,,公办院校,医药类院校,黑龙江省教育厅,大学,
128,西北师范大学,甘肃,甘肃-兰州市,兰州市,,,公办院校,师范类院校,甘肃省教育厅,大学,
129,南京邮电大学,江苏,江苏-南京市,南京市,,,公办院校,综合类院校,江苏省教育厅,大学,
130,南京医科大学,江苏,江苏-南京市,南京市,,,公办院校,医药类院校,江苏省教育厅,大学,
131,西南政法大学,,重庆市,,,,公办院校,政法类院校,重庆市教育委员会,大学,
132,中国地质大学(北京),,北京市,,211,,公办院校,工科类院校,教育部,大学,
133,湖北大学,湖北,湖北-武汉市,武汉市,,,公办院校,综合类院校,湖北省教育厅,大学,
134,山东农业大学,山东,山东-泰安市,泰安市,,,公办院校,农业类院校,山东省教育厅,大学,
135,海南大学,海南,海南-海口市,海口市,211,,公办院校,综合类院校,海南省教育厅,大学,
136,武汉科技大学,湖北,湖北-武汉市,武汉市,,,公办院校,工科类院校,湖北省教育厅,大学,
137,内蒙古大学,内蒙古,内蒙古-呼和浩特市,呼和浩特市,211,,公办院校,综合类院校,内蒙古自治区教育厅,大学,
138,云南师范大学,云南,云南-昆明市,昆明市,,,公办院校,师范类院校,云南省教育厅,大学,
139,西安建筑科技大学,陕西,陕西-西安市,西安市,,,公办院校,工科类院校,陕西省教育厅,大学,
140,贵州大学,贵州,贵州-贵阳市,贵阳市,211,,公办院校,综合类院校,贵州省教育厅,大学,
141,江西财经大学,江西,江西-南昌市,南昌市,,,公办院校,财经类院校,江西省教育厅,大学,
142,华侨大学,福建,福建-泉州市,泉州市,,,公办院校,综合类院校,国务院侨务办公室,大学,
143,石河子大学,新疆,新疆-自治区直辖,自治区直辖,211,,公办院校,综合类院校,新疆生产建设兵团,大学,
144,汕头大学,广东,广东-汕头市,汕头市,,,公办院校,综合类院校,广东省教育厅,大学,
145,东北农业大学,黑龙江,黑龙江-哈尔滨市,哈尔滨市,211,,公办院校,农业类院校,黑龙江省教育厅,大学,
146,中国医科大学,辽宁,辽宁-沈阳市,沈阳市,,,公办院校,医药类院校,辽宁省教育厅,大学,
147,四川农业大学,四川,四川-雅安市,雅安市,211,,公办院校,农业类院校,四川省教育厅,大学,
148,广西师范大学,广西,广西-桂林市,桂林市,,,公办院校,师范类院校,广西壮族自治区教育厅,大学,
149,河南农业大学,河南,河南-郑州市,郑州市,,,公办院校,农业类院校,河南省教育厅,大学,
150,上海中医药大学,,上海市,,,,公办院校,医药类院校,上海市教育委员会,大学,
151,杭州师范大学,浙江,浙江-杭州市,杭州市,,,公办院校,师范类院校,浙江省教育厅,大学,
152,湖南农业大学,湖南,湖南-长沙市,长沙市,,,公办院校,农业类院校,湖南省教育厅,大学,
153,广东外语外贸大学,广东,广东-广州市,广州市,,,公办院校,语言类院校,广东省教育厅,大学,
154,中国矿业大学(北京),,北京市,,211,,公办院校,工科类院校,教育部,大学,
155,广州大学,广东,广东-广州市,广州市,,,公办院校,综合类院校,广东省教育厅,大学,
156,浙江理工大学,浙江,浙江-杭州市,杭州市,,,公办院校,工科类院校,浙江省教育厅,大学,
157,河北工业大学,,天津市,,211,,公办院校,工科类院校,河北省教育厅,大学,
158,河南师范大学,河南,河南-新乡市,新乡市,,,公办院校,师范类院校,河南省教育厅,大学,
159,山东科技大学,山东,山东-泰安市,泰安市,,,公办院校,综合类院校,山东省教育厅,大学,
160,南京林业大学,江苏,江苏-南京市,南京市,,,公办院校,林业类院校,江苏省教育厅,大学,
161,广东工业大学,广东,广东-广州市,广州市,,,公办院校,工科类院校,广东省教育厅,大学,
162,河北师范大学,河北,河北-石家庄市,石家庄市,,,公办院校,师范类院校,河北省教育厅,大学,
163,西安理工大学,陕西,陕西-西安市,西安市,,,公办院校,工科类院校,陕西省教育厅,大学,
164,南京信息工程大学,江苏,江苏-南京市,南京市,,,公办院校,工科类院校,江苏省教育厅,大学,
165,首都经济贸易大学,,北京市,,,,公办院校,财经类院校,北京市教育委员会,大学,
166,成都理工大学,四川,四川-成都市,成都市,,,公办院校,工科类院校,四川省教育厅,学院,一本
167,北京语言大学,,北京市,,,,公办院校,语言类院校,教育部,大学,
168,华东政法大学,,上海市,,,,公办院校,政法类院校,上海市教育委员会,大学,
169,天津工业大学,,天津市,,,,公办院校,工科类院校,天津市教育委员会,大学,
170,中北大学,山西,山西-太原市,太原市,,,公办院校,工科类院校,山西省教育厅,大学,
171,重庆医科大学,,重庆市,,,,公办院校,医药类院校,重庆市教育委员会,大学,
172,长春理工大学,吉林,吉林-长春市,长春市,,,公办院校,工科类院校,吉林省教育厅,大学,
173,河北农业大学,河北,河北-保定市,保定市,,,公办院校,农业类院校,河北省教育厅,大学,
174,济南大学,山东,山东-济南市,济南市,,,公办院校,综合类院校,山东省教育厅,大学,
175,青岛科技大学,山东,山东-青岛市,青岛市,,,公办院校,工科类院校,山东省教育厅,大学,
176,中南民族大学,湖北,湖北-武汉市,武汉市,,,公办院校,民族类院校,国家民族事务委员会,大学,
177,江苏师范大学,江苏,江苏-徐州市,徐州市,,,公办院校,师范类院校,江苏省教育厅,大学,
178,东北电力大学,吉林,吉林-吉林市,吉林市,,,公办院校,工科类院校,吉林省教育厅,大学,
179,宁夏大学,宁夏,宁夏-银川市,银川市,211,,公办院校,综合类院校,宁夏回族自治区教育厅,大学,
180,重庆邮电大学,,重庆市,,,,公办院校,工科类院校,重庆市教育委员会,大学,
181,河南科技大学,河南,河南-洛阳市,洛阳市,,,公办院校,工科类院校,河南省教育厅,大学,
182,沈阳农业大学,辽宁,辽宁-沈阳市,沈阳市,,,公办院校,农业类院校,辽宁省教育厅,大学,
183,哈尔滨理工大学,黑龙江,黑龙江-哈尔滨市,哈尔滨市,,,公办院校,工科类院校,黑龙江省教育厅,大学,
184,河南工业大学,河南,河南-郑州市,郑州市,,,公办院校,工科类院校,河南省教育厅,大学,
186,延边大学,吉林,吉林-延边朝鲜族自治州,延边朝鲜族自治州,211,,公办院校,综合类院校,教育部,大学,
187,中国计量大学,浙江,浙江-杭州市,杭州市,,,公办院校,工科类院校,浙江省教育厅,学院,
188,四川师范大学,四川,四川-成都市,成都市,,,公办院校,师范类院校,四川省教育厅,大学,
189,兰州交通大学,甘肃,甘肃-兰州市,兰州市,,,公办院校,工科类院校,甘肃省教育厅,大学,
190,云南民族大学,云南,云南-昆明市,昆明市,,,公办院校,民族类院校,云南省教育厅,大学,
191,南京中医药大学,江苏,江苏-南京市,南京市,,,公办院校,医药类院校,江苏省教育厅,大学,
192,西南石油大学,四川,四川-成都市,成都市,,,公办院校,工科类院校,四川省教育厅,大学,
193,湖南科技大学,湖南,湖南-湘潭市,湘潭市,,,公办院校,综合类院校,湖南省教育厅,大学,
194,重庆交通大学,,重庆市,,,,公办院校,工科类院校,重庆市教育委员会,大学,
195,大连大学,辽宁,辽宁-大连市,大连市,,,公办院校,综合类院校,辽宁省教育厅,大学,
196,哈尔滨师范大学,黑龙江,黑龙江-哈尔滨市,哈尔滨市,,,公办院校,师范类院校,黑龙江省教育厅,大学,
197,广州中医药大学,广东,广东-广州市,广州市,,,公办院校,医药类院校,广东省教育厅,大学,
198,云南农业大学,云南,云南-昆明市,昆明市,,,公办院校,农业类院校,云南省教育厅,大学,
199,长江大学,湖北,湖北-荆州市,荆州市,,,公办院校,综合类院校,湖北省教育厅,大学,
200,河南理工大学,河南,河南-焦作市,焦作市,,,公办院校,工科类院校,河南省教育厅,大学,
201,辽宁师范大学,辽宁,辽宁-大连市,大连市,,,公办院校,师范类院校,辽宁省教育厅,大学,
202,西南民族大学,四川,四川-成都市,成都市,,,公办院校,民族类院校,国家民族事务委员会,大学,
203,山东理工大学,山东,山东-淄博市,淄博市,,,公办院校,工科类院校,山东省教育厅,大学,
204,曲阜师范大学,山东,山东-济宁市,济宁市,,,公办院校,师范类院校,山东省教育厅,大学,
205,西安科技大学,陕西,陕西-西安市,西安市,,,公办院校,工科类院校,陕西省教育厅,大学,
206,温州大学,浙江,浙江-温州市,温州市,,,公办院校,工科类院校,浙江省教育厅,大学,
207,兰州理工大学,甘肃,甘肃-兰州市,兰州市,,,公办院校,工科类院校,甘肃省教育厅,大学,
208,南通大学,江苏,江苏-南通市,南通市,,,公办院校,综合类院校,江苏省教育厅,大学,
209,天津中医药大学,,天津市,,,,公办院校,医药类院校,天津市教育委员会,大学,
210,内蒙古农业大学,内蒙古,内蒙古-呼和浩特市,呼和浩特市,,,公办院校,农业类院校,内蒙古自治区教育厅,大学,
211,北京工商大学,,北京市,,,,公办院校,综合类院校,北京市教育委员会,大学,
212,三峡大学,湖北,湖北-宜昌市,宜昌市,,,公办院校,综合类院校,湖北省教育厅,大学,
213,天津科技大学,,天津市,,,,公办院校,工科类院校,天津市教育委员会,大学,
214,安徽农业大学,安徽,安徽-合肥市,合肥市,,,公办院校,农业类院校,安徽省教育厅,大学,
215,东北石油大学,黑龙江,黑龙江-大庆市,大庆市,,,公办院校,工科类院校,黑龙江省教育厅,大学,
216,上海海事大学,,上海市,,,,公办院校,工科类院校,上海市教育委员会,大学,
217,辽宁工程技术大学,辽宁,辽宁-阜新市,阜新市,,,公办院校,工科类院校,辽宁省教育厅,大学,
218,天津理工大学,,天津市,,,,公办院校,工科类院校,天津市教育委员会,大学,
219,新疆农业大学,新疆,新疆-乌鲁木齐市,乌鲁木齐市,,,公办院校,农业类院校,新疆维吾尔自治区教育厅,大学,
220,中南林业科技大学,湖南,湖南-长沙市,长沙市,,,公办院校,林业类院校,湖南省教育厅,大学,
221,沈阳工业大学,辽宁,辽宁-沈阳市,沈阳市,,,公办院校,工科类院校,辽宁省教育厅,大学,
